ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_denuncias,total_penal,denuncias_unicas,denuncias_unicas_penal,sem_grupo_total,sem_grupo_penal,criancas_total,criancas_penal,mulheres_total,mulheres_penal,idosos_total,idosos_penal,pcd_total,pcd_penal,lgbt_total,lgbt_penal,prisional_total,prisional_penal,denuncias_unicas_maioria_penal,total_registros,total_social,taxa_total_10k,taxa_penal_10k,taxa_denuncias_unicas_10k,taxa_denuncias_maioria_penal_10k,taxa_criancas_10k,taxa_criancas_penal_10k,taxa_mulheres_10k,taxa_mulheres_penal_10k,taxa_idosos_10k,taxa_idosos_penal_10k,taxa_pcd_10k,taxa_pcd_penal_10k,taxa_lgbt_10k,taxa_lgbt_penal_10k,taxa_prisional_10k,taxa_prisional_penal_10k
4201604,Arroio Trinta,Caçador,Videira,3556,156,100,16,16,0,0,127,78,0,0,27,21,28,19,2,1,0,0,12,156,56,438.7,281.21,44.99,33.75,357.14,219.35,0.0,0.0,75.93,59.06,78.74,53.43,5.62,2.81,0.0,0.0
4201653,Arvoredo,Chapecó,Chapecó,2510,370,179,40,39,19,14,297,132,0,0,46,27,24,12,0,0,0,0,18,370,191,1474.1,713.15,159.36,71.71,1183.27,525.9,0.0,0.0,183.27,107.57,95.62,47.81,0.0,0.0,0.0,0.0
4201703,Ascurra,Blumenau,Blumenau,8319,1244,719,160,154,104,49,789,433,42,35,296,196,104,65,0,0,6,4,100,1244,525,1495.37,864.29,192.33,120.21,948.43,520.5,50.49,42.07,355.81,235.61,125.02,78.13,0.0,0.0,7.21,4.81
4201802,Atalanta,Blumenau,Rio do Sul,3227,214,137,35,35,1,1,92,61,7,4,120,75,17,11,0,0,0,0,26,214,77,663.15,424.54,108.46,80.57,285.09,189.03,21.69,12.4,371.86,232.41,52.68,34.09,0.0,0.0,0.0,0.0
4201901,Aurora,Blumenau,Rio do Sul,6780,403,220,56,53,30,15,262,142,27,20,96,53,43,29,0,0,0,0,29,403,183,594.4,324.48,82.6,42.77,386.43,209.44,39.82,29.5,141.59,78.17,63.42,42.77,0.0,0.0,0.0,0.0
4201950,Balneário Arroio do Silva,Criciúma,Araranguá,15820,1777,1091,207,195,49,34,822,498,75,53,790,483,364,230,12,5,0,0,141,1777,686,1123.26,689.63,130.85,89.13,519.6,314.79,47.41,33.5,499.37,305.31,230.09,145.39,7.59,3.16,0.0,0.0
4202057,Balneário Barra do Sul,Joinville,Joinville,14912,1612,1014,221,205,73,46,1024,587,50,35,393,299,279,208,36,26,4,1,147,1612,598,1081.01,679.99,148.2,98.58,686.7,393.64,33.53,23.47,263.55,200.51,187.1,139.48,24.14,17.44,2.68,0.67
4202008,Balneário Camboriú,Blumenau,Itajaí,139155,11384,7000,1610,1524,810,523,5974,3571,476,327,3388,2133,1668,1045,314,215,151,88,1024,11384,4384,818.08,503.04,115.7,73.59,429.31,256.62,34.21,23.5,243.47,153.28,119.87,75.1,22.56,15.45,10.85,6.32
4202073,Balneário Gaivota,Criciúma,Araranguá,15669,1974,1125,230,221,117,65,1207,660,66,45,499,300,479,286,0,0,0,0,126,1974,849,1259.81,717.98,146.79,80.41,770.31,421.21,42.12,28.72,318.46,191.46,305.7,182.53,0.0,0.0,0.0,0.0
4212809,Balneário Piçarras,Blumenau,Itajaí,27127,3476,2232,470,459,171,121,1935,1163,131,110,1044,678,582,405,69,49,49,46,332,3476,1244,1281.38,822.8,173.26,122.39,713.31,428.72,48.29,40.55,384.86,249.94,214.55,149.3,25.44,18.06,18.06,16.96
4220000,Balneário Rincão,Criciúma,Criciúma,15981,1211,733,172,163,75,55,853,489,25,22,242,156,212,117,62,34,0,0,106,1211,478,757.77,458.67,107.63,66.33,533.76,305.99,15.64,13.77,151.43,97.62,132.66,73.21,38.8,21.28,0.0,0.0
4202081,Bandeirante,Chapecó,São Miguel do Oeste,3144,164,106,29,26,2,0,79,44,12,7,71,55,20,14,0,0,0,0,19,164,58,521.63,337.15,92.24,60.43,251.27,139.95,38.17,22.26,225.83,174.94,63.61,44.53,0.0,0.0,0.0,0.0
4202099,Barra Bonita,Chapecó,São Miguel do Oeste,1668,485,379,81,75,11,6,312,242,121,103,39,26,37,31,42,32,0,0,72,485,106,2907.67,2272.18,485.61,431.65,1870.5,1450.84,725.42,617.51,233.81,155.88,221.82,185.85,251.8,191.85,0.0,0.0
4202107,Barra Velha,Blumenau,Itajaí,45369,4978,3064,678,641,370,236,2693,1519,254,182,1379,941,673,452,59,34,114,86,424,4978,1914,1097.22,675.35,149.44,93.46,593.58,334.81,55.99,40.12,303.95,207.41,148.34,99.63,13.0,7.49,25.13,18.96
4202131,Bela Vista do Toldo,Joinville,Mafra,5872,114,71,16,16,0,0,54,33,0,0,52,34,9,5,0,0,0,0,12,114,43,194.14,120.91,27.25,20.44,91.96,56.2,0.0,0.0,88.56,57.9,15.33,8.51,0.0,0.0,0.0,0.0
4202156,Belmonte,Chapecó,São Miguel do Oeste,2658,532,354,77,74,0,0,416,273,12,10,105,72,54,41,2,2,0,0,58,532,178,2001.5,1331.83,289.69,218.21,1565.09,1027.09,45.15,37.62,395.03,270.88,203.16,154.25,7.52,7.52,0.0,0.0
4202206,Benedito Novo,Blumenau,Blumenau,10520,690,420,94,89,15,12,232,120,63,44,367,232,138,101,0,0,0,0,66,690,270,655.89,399.24,89.35,62.74,220.53,114.07,59.89,41.83,348.86,220.53,131.18,96.01,0.0,0.0,0.0,0.0
4202305,Biguaçu,Florianópolis,Florianópolis,76773,8432,5078,1058,1006,473,321,4665,2591,281,192,2542,1682,1319,884,312,208,31,19,663,8432,3354,1098.3,661.43,137.81,86.36,607.64,337.49,36.6,25.01,331.11,219.09,171.81,115.14,40.64,27.09,4.04,2.47
4202404,Blumenau,Blumenau,Blumenau,361261,45917,28620,6495,6151,3036,1964,20909,12255,1560,1125,16355,10255,6859,4529,672,465,1929,1724,4134,45917,17297,1271.02,792.23,179.79,114.43,578.78,339.23,43.18,31.14,452.72,283.87,189.86,125.37,18.6,12.87,53.4,47.72
